d,t1,t2,s1,s2,win1,win2
2024-06-03,England,Bosnia and Herzegovina,3,0,True,False
2024-06-05,Mexico,Uruguay,0,4,False,True
2024-06-06,Netherlands,Canada,4,0,True,False
2024-06-06,Senegal,DR Congo,1,1,False,False
2024-06-08,Mexico,Brazil,2,3,False,True
2024-06-08,Portugal,Croatia,1,2,False,True
2024-06-08,Switzerland,Austria,1,1,False,False
2024-06-08,United States,Colombia,1,5,False,True
2024-06-09,Argentina,Ecuador,1,0,True,False
2024-06-09,France,Canada,0,0,False,False
2024-06-11,Iran,Uzbekistan,0,0,False,False
2024-06-11,Saudi Arabia,Jordan,1,2,False,True
2024-06-12,United States,Brazil,1,1,False,False
2024-06-14,Germany,Scotland,5,1,True,False
2024-06-15,Spain,Croatia,3,0,True,False
2024-06-16,Panama,Paraguay,0,1,False,True
2024-06-17,Austria,France,0,1,False,True
2024-06-18,Portugal,Czech Republic,2,1,True,False
2024-06-19,Scotland,Switzerland,1,1,False,False
2024-06-20,Argentina,Canada,2,0,True,False
2024-06-21,Netherlands,France,0,0,False,False
2024-06-22,Turkey,Portugal,0,3,False,True
2024-06-23,Germany,Switzerland,1,1,False,False
2024-06-23,Uruguay,Panama,3,1,True,False
2024-06-24,Colombia,Paraguay,2,1,True,False
2024-06-25,Netherlands,Austria,2,3,False,True
2024-06-26,Czech Republic,Turkey,1,2,False,True
2024-06-27,United States,Panama,1,2,False,True
2024-06-28,Paraguay,Brazil,1,4,False,True
2024-06-30,Mexico,Ecuador,0,0,False,False
2024-07-01,France,Belgium,1,0,True,False
2024-07-01,United States,Uruguay,0,1,False,True
2024-07-02,Austria,Turkey,1,2,False,True
2024-07-02,Brazil,Colombia,1,1,False,False
2024-07-04,Argentina,Ecuador,1,1,False,False
2024-07-05,Germany,Spain,1,2,False,True
2024-07-05,Portugal,France,0,0,False,False
2024-07-06,England,Switzerland,1,1,False,False
2024-07-06,Netherlands,Turkey,2,1,True,False
2024-07-06,Uruguay,Brazil,0,0,False,False
2024-07-06,Colombia,Panama,5,0,True,False
2024-07-09,Spain,France,2,1,True,False
2024-07-09,Argentina,Canada,2,0,True,False
2024-07-10,Netherlands,England,1,2,False,True
2024-07-10,Uruguay,Colombia,0,1,False,True
2024-07-13,Canada,Uruguay,2,2,False,False
2024-07-14,Spain,England,2,1,True,False
2024-07-14,Argentina,Colombia,1,0,True,False
2024-09-05,Portugal,Croatia,2,1,True,False
2024-09-06,Egypt,Cape Verde,3,0,True,False
2024-09-06,Uruguay,Paraguay,0,0,False,False
2024-09-06,Brazil,Ecuador,1,0,True,False
2024-09-07,Mexico,New Zealand,3,0,True,False
2024-09-07,United States,Canada,1,2,False,True
2024-09-07,Netherlands,Bosnia and Herzegovina,5,2,True,False
2024-09-08,Portugal,Scotland,2,1,True,False
2024-09-08,Switzerland,Spain,1,4,False,True
2024-09-09,France,Belgium,2,0,True,False
2024-09-09,Norway,Austria,2,1,True,False
2024-09-10,Mexico,Canada,0,0,False,False
2024-09-10,United States,New Zealand,1,1,False,False
2024-09-10,Netherlands,Germany,2,2,False,False
2024-09-10,Colombia,Argentina,2,1,True,False
2024-09-10,Paraguay,Brazil,1,0,True,False
2024-10-10,Ecuador,Paraguay,0,0,False,False
2024-10-10,Uzbekistan,Iran,0,0,False,False
2024-10-10,Jordan,South Korea,0,2,False,True
2024-10-10,Saudi Arabia,Japan,0,2,False,True
2024-10-11,Bosnia and Herzegovina,Germany,1,2,False,True
2024-10-12,United States,Panama,2,0,True,False
2024-10-12,Croatia,Scotland,2,1,True,False
2024-10-13,Austria,Norway,5,1,True,False
2024-10-14,Belgium,France,1,2,False,True
2024-10-14,Germany,Netherlands,1,0,True,False
2024-10-15,Canada,Panama,2,1,True,False
2024-10-15,Mexico,United States,2,0,True,False
