d,t1,t2,s1,s2,win1,win2
2026-06-11,Mexico,South Africa,,,False,False
2026-06-11,South Korea,Czech Republic,,,False,False
2026-06-12,Canada,Bosnia and Herzegovina,,,False,False
2026-06-12,United States,Paraguay,,,False,False
2026-06-13,Qatar,Switzerland,,,False,False
2026-06-13,Brazil,Morocco,,,False,False
2026-06-13,Haiti,Scotland,,,False,False
2026-06-13,Australia,Turkey,,,False,False
2026-06-14,Germany,Curaçao,,,False,False
2026-06-14,Ivory Coast,Ecuador,,,False,False
2026-06-14,Netherlands,Japan,,,False,False
2026-06-14,Sweden,Tunisia,,,False,False
2026-06-15,Belgium,Egypt,,,False,False
2026-06-15,Iran,New Zealand,,,False,False
2026-06-15,Spain,Cape Verde,,,False,False
2026-06-15,Saudi Arabia,Uruguay,,,False,False
2026-06-16,France,Senegal,,,False,False
2026-06-16,Iraq,Norway,,,False,False
2026-06-16,Argentina,Algeria,,,False,False
2026-06-16,Austria,Jordan,,,False,False
2026-06-17,Portugal,DR Congo,,,False,False
2026-06-17,Uzbekistan,Colombia,,,False,False
2026-06-17,England,Croatia,,,False,False
2026-06-17,Ghana,Panama,,,False,False
2026-06-18,Czech Republic,South Africa,,,False,False
2026-06-18,Mexico,South Korea,,,False,False
2026-06-18,Switzerland,Bosnia and Herzegovina,,,False,False
2026-06-18,Canada,Qatar,,,False,False
2026-06-19,Scotland,Morocco,,,False,False
2026-06-19,Brazil,Haiti,,,False,False
2026-06-19,United States,Australia,,,False,False
2026-06-19,Turkey,Paraguay,,,False,False
2026-06-20,Germany,Ivory Coast,,,False,False
2026-06-20,Ecuador,Curaçao,,,False,False
2026-06-20,Netherlands,Sweden,,,False,False
2026-06-20,Tunisia,Japan,,,False,False
2026-06-21,Belgium,Iran,,,False,False
2026-06-21,New Zealand,Egypt,,,False,False
2026-06-21,Spain,Saudi Arabia,,,False,False
2026-06-21,Uruguay,Cape Verde,,,False,False
2026-06-22,France,Iraq,,,False,False
2026-06-22,Norway,Senegal,,,False,False
2026-06-22,Argentina,Austria,,,False,False
2026-06-22,Jordan,Algeria,,,False,False
2026-06-23,Portugal,Uzbekistan,,,False,False
2026-06-23,Colombia,DR Congo,,,False,False
2026-06-23,England,Ghana,,,False,False
2026-06-23,Panama,Croatia,,,False,False
2026-06-24,Mexico,Czech Republic,,,False,False
2026-06-24,South Africa,South Korea,,,False,False
2026-06-24,Canada,Switzerland,,,False,False
2026-06-24,Bosnia and Herzegovina,Qatar,,,False,False
2026-06-24,Scotland,Brazil,,,False,False
2026-06-24,Morocco,Haiti,,,False,False
2026-06-25,United States,Turkey,,,False,False
2026-06-25,Paraguay,Australia,,,False,False
2026-06-25,Curaçao,Ivory Coast,,,False,False
2026-06-25,Ecuador,Germany,,,False,False
2026-06-25,Japan,Sweden,,,False,False
2026-06-25,Tunisia,Netherlands,,,False,False
2026-06-26,Egypt,Iran,,,False,False
2026-06-26,New Zealand,Belgium,,,False,False
2026-06-26,Cape Verde,Saudi Arabia,,,False,False
2026-06-26,Uruguay,Spain,,,False,False
2026-06-26,Norway,France,,,False,False
2026-06-26,Senegal,Iraq,,,False,False
2026-06-27,Algeria,Austria,,,False,False
2026-06-27,Jordan,Argentina,,,False,False
2026-06-27,Colombia,Portugal,,,False,False
2026-06-27,DR Congo,Uzbekistan,,,False,False
2026-06-27,Panama,England,,,False,False
2026-06-27,Croatia,Ghana,,,False,False
